cpu_demand_mips,ram_demand_mb,size_mbits,cpu_cycles,static_priority,cpu_norm,ram_norm,size_norm,cpu_ram_ratio,compute_density,load_score,task_type,task_type_name
2547.91,705.41,4.5758,1359010746.64,0.0,0.773956,0.438878,0.858598,3.612,297000000.0,0.639925,0,CPU_INTENSIVE
1188.35,1255.04,4.2834,1272175474.47,0.0,0.094177,0.975622,0.76114,0.9469,297000000.0,0.446755,1,MEM_INTENSIVE
1256.23,717.2,3.1124,924381039.59,0.0,0.128114,0.450386,0.370798,1.7516,297000000.0,0.257023,2,BALANCED
2287.73,1098.51,3.3302,989082051.16,1.0,0.643865,0.822762,0.443414,2.0826,297000000.0,0.715424,1,MEM_INTENSIVE
2109.17,321.35,4.4829,1331419374.25,0.0,0.554585,0.063817,0.827631,6.5635,297000000.0,0.358278,2,BALANCED
2516.18,619.03,4.9121,1458891939.74,0.0,0.758088,0.354526,0.970698,4.0647,297000000.0,0.596663,0,CPU_INTENSIVE
2556.77,455.31,3.4002,1009848414.32,1.0,0.778383,0.194639,0.466721,5.6154,297000000.0,0.544886,0,CPU_INTENSIVE
1308.58,955.44,4.2343,1257583080.91,0.0,0.154289,0.683049,0.744762,1.3696,297000000.0,0.365793,1,MEM_INTENSIVE
1651.65,635.35,3.4087,1012374227.85,1.0,0.325825,0.37046,0.469556,2.5996,297000000.0,0.343679,2,BALANCED
1259.84,743.12,2.6807,796176230.0,0.0,0.129922,0.475705,0.226909,1.6953,297000000.0,0.268235,2,BALANCED
1874.3,1108.66,4.1008,1217936205.88,0.0,0.437152,0.832678,0.700265,1.6906,297000000.0,0.595362,1,MEM_INTENSIVE
2664.52,1080.08,3.1624,939243235.72,1.0,0.83226,0.804764,0.387478,2.467,297000000.0,0.821262,0,CPU_INTENSIVE
2364.99,399.11,2.5997,772118208.41,1.0,0.682496,0.139752,0.199908,5.9257,297000000.0,0.465398,0,CPU_INTENSIVE
2573.85,936.81,4.1155,1222302352.36,0.0,0.786924,0.664851,0.705165,2.7475,297000000.0,0.738095,0,CPU_INTENSIVE
1917.83,838.39,2.4194,718559125.33,1.0,0.458916,0.568741,0.139797,2.2875,297000000.0,0.502846,2,BALANCED
2336.81,738.4,3.6957,1097625370.87,0.0,0.668403,0.471096,0.565236,3.1647,297000000.0,0.58948,0,CPU_INTENSIVE
2269.44,822.87,3.6776,1092253580.22,0.0,0.634718,0.553579,0.559207,2.758,297000000.0,0.602263,2,BALANCED
1061.64,703.2,2.6438,785194943.48,0.0,0.030818,0.436717,0.214585,1.5097,297000000.0,0.193178,2,BALANCED
2706.81,495.55,2.1749,645947742.84,1.0,0.853403,0.233939,0.058303,5.4622,297000000.0,0.605618,0,CPU_INTENSIVE
1587.19,933.8,3.6711,1090315647.74,0.0,0.293594,0.661917,0.557032,1.6997,297000000.0,0.440923,1,MEM_INTENSIVE
2328.63,672.14,4.4421,1319292162.74,1.0,0.664314,0.406387,0.81402,3.4645,297000000.0,0.561143,0,CPU_INTENSIVE
1045.42,348.21,4.1671,1237622181.38,0.0,0.022712,0.090048,0.722359,3.0023,297000000.0,0.049646,2,BALANCED
1322.54,769.07,2.4569,729710083.52,0.0,0.161272,0.501045,0.152312,1.7197,297000000.0,0.297181,2,BALANCED
1892.31,646.17,2.9045,862647271.43,0.0,0.446156,0.381021,0.301512,2.9285,297000000.0,0.420102,2,BALANCED
1723.63,345.75,2.354,699143258.79,0.0,0.361813,0.08765,0.118006,4.9851,297000000.0,0.252148,2,BALANCED
2817.16,972.5,2.7976,830890135.66,0.0,0.908581,0.699707,0.26587,2.8968,297000000.0,0.825031,0,CPU_INTENSIVE
2557.5,990.1,3.3481,994381098.41,1.0,0.778751,0.71689,0.449362,2.5831,297000000.0,0.754007,0,CPU_INTENSIVE
1192.78,1180.26,3.3673,1000096674.24,1.0,0.096391,0.902602,0.455776,1.0106,297000000.0,0.418876,1,MEM_INTENSIVE
1611.91,849.12,2.5303,751504549.6,0.0,0.305957,0.57922,0.176773,1.8983,297000000.0,0.415262,2,BALANCED
2517.04,992.73,3.2963,978994898.44,0.0,0.75852,0.719463,0.432093,2.5355,297000000.0,0.742897,0,CPU_INTENSIVE
2168.2,921.44,2.2533,669239890.14,0.0,0.584098,0.649847,0.084444,2.353,297000000.0,0.610397,2,BALANCED
1083.23,761.85,2.9896,887906340.19,1.0,0.041614,0.493991,0.329861,1.4218,297000000.0,0.222565,2,BALANCED
1206.81,857.75,2.5118,745998334.97,0.0,0.103403,0.587645,0.170593,1.4069,297000000.0,0.2971,2,BALANCED
2162.12,611.19,3.7727,1120505702.91,1.0,0.581061,0.34687,0.590915,3.5375,297000000.0,0.487385,2,BALANCED
2917.12,749.88,4.3482,1291417087.48,1.0,0.958559,0.482303,0.782735,3.8901,297000000.0,0.768057,0,CPU_INTENSIVE
1973.32,758.48,4.8135,1429603371.38,0.0,0.486658,0.490707,0.937826,2.6017,297000000.0,0.488278,2,BALANCED
1946.98,529.38,2.9947,889427976.63,0.0,0.473489,0.266976,0.331569,3.6778,297000000.0,0.390884,2,BALANCED
