episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
1,-957.3516,0.685,0.9089,1.5298,0.0,1.0,200,0.245,0.35,0.1,0.305
2,-1090.9603,0.81,1.167,1.2724,0.0,1.0,400,0.29,0.005,0.225,0.48
3,-991.8742,0.72,1.0007,1.4211,0.0,1.0,600,0.26,0.225,0.14,0.375
4,-1123.4948,0.83,1.093,1.4016,0.0,1.0,800,0.34,0.0,0.21,0.45
5,-1105.1269,0.82,1.168,1.2614,0.0,1.0,1000,0.255,0.0,0.23,0.515
6,-863.2699,0.65,0.8186,1.5654,6.935431,0.9608,1200,0.245,0.295,0.185,0.275
7,-893.2865,0.685,0.8432,1.583,16.11733,0.9231,1400,0.245,0.2,0.275,0.28
8,-898.338,0.665,0.816,1.6508,21.639872,0.8869,1600,0.275,0.175,0.28,0.27
9,-890.5675,0.64,0.9125,1.5523,44.89155,0.8521,1800,0.26,0.155,0.26,0.325
10,-818.2255,0.63,0.7788,1.6272,55.52783,0.8187,2000,0.25,0.27,0.25,0.23
11,-822.3667,0.595,0.8015,1.6114,51.794139,0.7866,2200,0.245,0.245,0.245,0.265
12,-899.7576,0.665,0.8476,1.6177,65.973735,0.7558,2400,0.295,0.19,0.235,0.28
13,-867.5915,0.66,0.7586,1.6415,56.100025,0.7261,2600,0.215,0.285,0.27,0.23
14,-814.3726,0.6,0.7523,1.7193,53.264235,0.6977,2800,0.32,0.225,0.245,0.21
15,-763.6546,0.57,0.6419,1.7205,55.606632,0.6703,3000,0.38,0.235,0.21,0.175
16,-834.4459,0.63,0.654,1.6918,47.325697,0.644,3200,0.3,0.22,0.295,0.185
17,-768.939,0.57,0.6715,1.7314,40.506156,0.6188,3400,0.365,0.225,0.225,0.185
18,-720.7583,0.55,0.674,1.7635,43.445863,0.5945,3600,0.33,0.305,0.18,0.185
19,-814.9178,0.605,0.6358,1.7605,42.57942,0.5712,3800,0.34,0.185,0.31,0.165
20,-733.7387,0.535,0.6473,1.7519,35.539789,0.5488,4000,0.385,0.165,0.265,0.185
21,-824.3327,0.61,0.7475,1.7036,39.13225,0.5273,4200,0.345,0.195,0.235,0.225
22,-870.2176,0.65,0.7733,1.6653,44.180864,0.5066,4400,0.28,0.235,0.24,0.245
23,-853.212,0.625,0.7987,1.5789,42.642672,0.4867,4600,0.27,0.295,0.175,0.26
24,-795.1252,0.585,0.7542,1.6917,47.893964,0.4676,4800,0.285,0.235,0.25,0.23
25,-754.3091,0.55,0.7449,1.6952,44.075248,0.4493,5000,0.35,0.225,0.2,0.225
26,-722.3104,0.54,0.6728,1.7075,46.517194,0.4317,5200,0.27,0.245,0.3,0.185
27,-815.9965,0.59,0.8349,1.658,41.065463,0.4147,5400,0.255,0.275,0.21,0.26
28,-808.4502,0.59,0.7444,1.7083,41.73315,0.3985,5600,0.26,0.29,0.235,0.215
29,-872.6415,0.635,0.8612,1.5793,45.822416,0.3829,5800,0.215,0.245,0.265,0.275
30,-834.9594,0.625,0.8031,1.6539,46.339546,0.3678,6000,0.18,0.32,0.255,0.245
31,-743.8898,0.545,0.6393,1.6838,43.60171,0.3534,6200,0.29,0.3,0.245,0.165
32,-704.7721,0.54,0.6395,1.7125,42.123687,0.3396,6400,0.35,0.275,0.195,0.18
33,-746.0651,0.545,0.7054,1.7031,44.20167,0.3262,6600,0.255,0.31,0.245,0.19
34,-780.5414,0.585,0.7091,1.6478,45.306676,0.3134,6800,0.28,0.305,0.21,0.205
35,-740.8122,0.525,0.6782,1.6868,38.705985,0.3012,7000,0.295,0.27,0.24,0.195
36,-797.2495,0.58,0.8173,1.5585,39.580756,0.2893,7200,0.25,0.29,0.19,0.27
37,-774.5569,0.575,0.7239,1.7045,39.555691,0.278,7400,0.245,0.33,0.215,0.21
38,-786.9752,0.56,0.7876,1.6489,43.913285,0.2671,7600,0.275,0.265,0.21,0.25
39,-758.9853,0.565,0.6995,1.6864,47.233636,0.2566,7800,0.27,0.275,0.245,0.21
40,-710.6619,0.52,0.7559,1.6734,42.077327,0.2466,8000,0.325,0.24,0.205,0.23
41,-697.1921,0.515,0.658,1.7059,42.890245,0.2369,8200,0.455,0.175,0.175,0.195
42,-745.1501,0.555,0.7016,1.6883,39.582063,0.2276,8400,0.42,0.165,0.19,0.225
43,-726.4165,0.51,0.782,1.6115,39.7642,0.2187,8600,0.295,0.21,0.24,0.255
44,-695.1401,0.52,0.6658,1.6219,44.786089,0.2101,8800,0.34,0.27,0.195,0.195
45,-784.5819,0.58,0.7079,1.6719,37.5828,0.2019,9000,0.24,0.36,0.2,0.2
46,-715.0348,0.515,0.7063,1.6772,47.116994,0.1939,9200,0.285,0.265,0.24,0.21
47,-744.6951,0.55,0.7306,1.6576,53.555219,0.1863,9400,0.365,0.265,0.16,0.21
48,-775.2423,0.555,0.7399,1.6732,45.79626,0.179,9600,0.325,0.21,0.25,0.215
49,-734.1198,0.54,0.7044,1.6958,45.749133,0.172,9800,0.315,0.225,0.24,0.22
50,-713.7293,0.505,0.7021,1.6334,49.662254,0.1653,10000,0.41,0.24,0.13,0.22
