episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
1,-266.3186,0.14,0.2839,1.6511,0.0,1.0,200,0.555,0.17,0.27,0.005
2,-238.8145,0.115,0.2902,1.7514,0.0,1.0,400,0.585,0.165,0.25,0.0
3,-153.9478,0.04,0.2328,1.8466,0.0,1.0,600,0.875,0.005,0.12,0.0
4,-202.748,0.085,0.2514,1.7936,0.0,1.0,800,0.735,0.065,0.2,0.0
5,-199.6325,0.085,0.2757,1.7894,0.0,1.0,1000,0.65,0.14,0.21,0.0
6,-413.1379,0.23,0.4808,1.5849,0.674468,0.9608,1200,0.255,0.285,0.185,0.275
7,-448.0247,0.255,0.4023,1.5979,0.456032,0.9231,1400,0.29,0.19,0.275,0.245
8,-389.7076,0.22,0.3616,1.6227,0.430207,0.8869,1600,0.335,0.18,0.275,0.21
9,-441.2188,0.27,0.3728,1.5759,0.439695,0.8521,1800,0.315,0.21,0.225,0.25
10,-316.8205,0.175,0.3752,1.7715,0.477049,0.8187,2000,0.325,0.27,0.245,0.16
11,-340.8097,0.195,0.3709,1.707,0.519959,0.7866,2200,0.365,0.225,0.225,0.185
12,-313.9605,0.175,0.3986,1.7061,0.578621,0.7558,2400,0.38,0.21,0.22,0.19
13,-361.6099,0.2,0.432,1.6517,0.619296,0.7261,2600,0.3,0.28,0.215,0.205
14,-310.208,0.175,0.3433,1.7293,0.647883,0.6977,2800,0.395,0.22,0.24,0.145
15,-242.1281,0.12,0.4029,1.7214,0.666346,0.6703,3000,0.37,0.26,0.22,0.15
16,-286.6891,0.145,0.3934,1.7262,0.681343,0.644,3200,0.385,0.235,0.215,0.165
17,-274.5214,0.135,0.375,1.7362,0.695911,0.6188,3400,0.39,0.195,0.27,0.145
18,-248.3142,0.125,0.3831,1.6985,0.703349,0.5945,3600,0.375,0.25,0.24,0.135
19,-214.0417,0.095,0.3652,1.7458,0.712555,0.5712,3800,0.425,0.215,0.25,0.11
20,-244.7271,0.125,0.3651,1.76,0.715701,0.5488,4000,0.395,0.205,0.26,0.14
21,-267.0767,0.135,0.3467,1.7112,0.713341,0.5273,4200,0.38,0.24,0.265,0.115
22,-332.0408,0.18,0.3477,1.6848,0.713859,0.5066,4400,0.395,0.205,0.245,0.155
23,-234.8007,0.115,0.3482,1.8072,0.710041,0.4867,4600,0.44,0.195,0.25,0.115
24,-253.6583,0.125,0.3702,1.7525,0.705382,0.4676,4800,0.385,0.235,0.25,0.13
25,-176.9367,0.07,0.3593,1.8656,0.700733,0.4493,5000,0.43,0.245,0.255,0.07
26,-194.8196,0.08,0.3366,1.8778,0.702565,0.4317,5200,0.455,0.19,0.285,0.07
27,-224.8351,0.105,0.3526,1.804,0.704155,0.4147,5400,0.435,0.19,0.25,0.125
28,-231.8388,0.11,0.354,1.7477,0.702132,0.3985,5600,0.4,0.23,0.27,0.1
29,-254.6294,0.13,0.3625,1.7488,0.700967,0.3829,5800,0.39,0.235,0.25,0.125
30,-200.776,0.095,0.3521,1.8373,0.701224,0.3678,6000,0.445,0.22,0.235,0.1
31,-219.005,0.095,0.3617,1.7386,0.703551,0.3534,6200,0.4,0.22,0.3,0.08
32,-164.5382,0.065,0.3775,1.8828,0.706065,0.3396,6400,0.455,0.255,0.2,0.09
33,-164.8371,0.07,0.3619,1.8154,0.710188,0.3262,6600,0.43,0.31,0.195,0.065
34,-199.4867,0.085,0.3769,1.8407,0.712369,0.3134,6800,0.4,0.27,0.255,0.075
35,-193.5608,0.085,0.3326,1.7908,0.71476,0.3012,7000,0.445,0.26,0.22,0.075
36,-159.345,0.065,0.3869,1.8353,0.714442,0.2893,7200,0.395,0.295,0.235,0.075
37,-148.522,0.05,0.3456,1.9068,0.714022,0.278,7400,0.485,0.25,0.22,0.045
38,-160.0913,0.065,0.3303,1.8864,0.715916,0.2671,7600,0.51,0.23,0.205,0.055
39,-176.6004,0.075,0.3366,1.8078,0.71952,0.2566,7800,0.435,0.25,0.255,0.06
40,-171.2087,0.075,0.3428,1.8443,0.720355,0.2466,8000,0.445,0.245,0.23,0.08
41,-138.5501,0.05,0.3406,1.8863,0.71989,0.2369,8200,0.495,0.235,0.215,0.055
42,-152.0201,0.065,0.3318,1.8434,0.720304,0.2276,8400,0.51,0.22,0.2,0.07
43,-140.6798,0.045,0.3579,1.883,0.718053,0.2187,8600,0.455,0.265,0.225,0.055
44,-145.8827,0.055,0.3459,1.8275,0.718492,0.2101,8800,0.46,0.275,0.21,0.055
45,-217.2862,0.1,0.3395,1.8034,0.717753,0.2019,9000,0.415,0.28,0.24,0.065
46,-129.4995,0.045,0.3264,1.8604,0.717905,0.1939,9200,0.51,0.26,0.185,0.045
47,-133.4568,0.04,0.2997,1.866,0.720974,0.1863,9400,0.595,0.225,0.15,0.03
48,-123.293,0.035,0.3224,1.9289,0.72288,0.179,9600,0.52,0.255,0.195,0.03
49,-137.4828,0.05,0.3391,1.889,0.723589,0.172,9800,0.455,0.265,0.24,0.04
50,-159.5732,0.06,0.3241,1.8701,0.723697,0.1653,10000,0.58,0.225,0.145,0.05
51,-115.8316,0.03,0.3373,1.9116,0.724927,0.1588,10200,0.525,0.28,0.165,0.03
52,-134.5601,0.045,0.3504,1.7986,0.724584,0.1526,10400,0.475,0.295,0.175,0.055
53,-106.9225,0.025,0.3297,1.906,0.724327,0.1466,10600,0.515,0.32,0.15,0.015
54,-140.3184,0.05,0.3429,1.8839,0.727091,0.1408,10800,0.445,0.295,0.215,0.045
55,-106.3349,0.025,0.3698,1.8684,0.728452,0.1353,11000,0.435,0.28,0.24,0.045
56,-107.239,0.03,0.3488,1.907,0.728355,0.13,11200,0.485,0.26,0.22,0.035
57,-108.8322,0.025,0.3262,1.8815,0.727822,0.1249,11400,0.49,0.265,0.23,0.015
58,-136.4783,0.045,0.3273,1.888,0.727833,0.12,11600,0.495,0.285,0.185,0.035
59,-109.9153,0.03,0.347,1.9352,0.728635,0.1153,11800,0.46,0.31,0.205,0.025
60,-131.0651,0.045,0.3373,1.9035,0.729682,0.1108,12000,0.495,0.27,0.185,0.05
61,-81.4025,0.01,0.3146,2.0021,0.729852,0.1064,12200,0.565,0.26,0.175,0.0
62,-150.173,0.06,0.3157,1.8384,0.730451,0.1023,12400,0.52,0.27,0.16,0.05
63,-112.6088,0.03,0.3345,1.8619,0.73036,0.0983,12600,0.515,0.265,0.19,0.03
64,-118.9482,0.035,0.3191,1.8673,0.729276,0.0944,12800,0.51,0.265,0.2,0.025
65,-104.6237,0.025,0.3393,1.9811,0.727897,0.0907,13000,0.5,0.27,0.205,0.025
66,-117.55,0.03,0.3408,1.9104,0.727724,0.0871,13200,0.475,0.295,0.2,0.03
67,-90.2276,0.015,0.3342,1.8978,0.72671,0.0837,13400,0.465,0.295,0.23,0.01
68,-110.9476,0.03,0.3055,1.9594,0.726406,0.0804,13600,0.625,0.215,0.13,0.03
69,-88.8462,0.01,0.3093,1.9208,0.725676,0.0773,13800,0.59,0.26,0.145,0.005
70,-125.9728,0.04,0.3204,1.8664,0.7242,0.0743,14000,0.505,0.265,0.21,0.02
71,-104.855,0.025,0.3331,1.8776,0.724924,0.0713,14200,0.47,0.305,0.21,0.015
72,-118.1676,0.04,0.3237,1.8698,0.726213,0.0685,14400,0.54,0.24,0.195,0.025
73,-93.8112,0.02,0.3441,2.0735,0.727626,0.0659,14600,0.5,0.315,0.17,0.015
74,-84.4648,0.015,0.3291,1.9309,0.729061,0.0633,14800,0.5,0.29,0.2,0.01
75,-86.4087,0.02,0.3302,1.846,0.728775,0.0608,15000,0.475,0.305,0.205,0.015
76,-79.9119,0.01,0.3457,1.9436,0.726971,0.0584,15200,0.495,0.315,0.175,0.015
