episode,reward,drop_rate,avg_lat,avg_eng,loss
1,-389.1691,0.23,0.3868,1.5315,486.47155
2,-242.2928,0.125,0.3172,1.758,202.447735
3,-281.7391,0.155,0.3567,1.6525,301.846268
4,-261.1585,0.15,0.3099,1.7052,224.267353
5,-248.126,0.13,0.2987,1.8058,231.889874
6,-272.307,0.155,0.3204,1.7284,253.464279
7,-262.6412,0.14,0.343,1.7261,246.421108
8,-204.7086,0.105,0.3103,1.7689,148.707558
9,-212.1688,0.11,0.2748,1.7634,159.340721
10,-126.5315,0.045,0.3091,1.9204,56.049788
11,-169.1536,0.08,0.2935,1.8635,98.665907
12,-147.7892,0.06,0.3234,1.8198,73.815809
13,-105.981,0.03,0.2983,1.9038,34.668941
14,-106.0273,0.035,0.3109,1.9087,35.185456
15,-75.7456,0.01,0.2722,1.8914,16.731043
16,-96.0636,0.02,0.2712,1.8732,32.661629
17,-109.8532,0.035,0.2848,1.8674,35.33767
18,-86.4971,0.02,0.2681,1.8184,19.595655
19,-66.3869,0.0,0.2593,1.8229,10.979453
20,-71.4507,0.01,0.2784,1.9002,13.087454
21,-68.931,0.01,0.2677,1.8611,12.712653
22,-85.0519,0.015,0.2611,1.9021,14.968071
23,-76.18,0.01,0.277,1.95,15.075516
24,-64.7842,0.0,0.2565,1.8908,9.202097
25,-60.5122,0.0,0.2664,1.9557,7.394953
26,-66.7534,0.005,0.2732,1.9649,10.548196
27,-63.902,0.0,0.2544,1.937,7.852936
28,-97.8013,0.02,0.2486,1.8294,28.415178
29,-78.6308,0.01,0.2357,1.9134,15.109942
30,-58.4477,0.0,0.2662,1.9435,6.79432
31,-67.7411,0.005,0.2567,1.8879,10.711589
32,-65.7119,0.0,0.2579,1.9683,7.751292
33,-66.7738,0.0,0.2715,1.9094,9.422678
34,-77.5748,0.005,0.2782,1.9636,12.406785
35,-78.058,0.01,0.2748,1.8542,14.96851
36,-99.1219,0.01,0.2852,1.862,20.097745
37,-94.8745,0.005,0.2994,1.9339,16.220379
38,-71.5707,0.0,0.2955,1.9265,12.576863
39,-102.4169,0.025,0.2903,1.8201,37.603601
40,-76.3471,0.005,0.2972,1.8883,16.48504
41,-86.9585,0.01,0.2906,1.8778,24.258419
42,-76.4753,0.01,0.2851,1.8842,19.868846
43,-80.6377,0.01,0.3017,1.8876,18.109389
