episode,reward,drop_rate,avg_lat,avg_eng,avg_loss,epsilon,buffer_size,action_0,action_1,action_2,action_3
1,-980.5048,0.625,0.9335,1.0488,0.0,1.0,200,0.0,0.0,0.0,0.21
2,-963.3297,0.62,0.8889,1.0939,0.0,1.0,400,0.0,0.0,0.0,0.23
3,-958.0532,0.62,0.8938,1.0948,0.0,1.0,600,0.0,0.0,0.0,0.235
4,-1022.4239,0.675,0.7623,1.1065,0.0,1.0,800,0.0,0.0,0.0,0.255
5,-987.9422,0.62,0.8665,1.0994,0.0,1.0,1000,0.0,0.0,0.0,0.235
6,-327.384,0.175,0.4066,1.4899,2.217688,0.9608,1200,0.115,0.115,0.13,0.135
7,-329.6082,0.19,0.3656,1.5284,1.08006,0.9231,1400,0.09,0.2,0.115,0.125
8,-175.628,0.08,0.3348,1.7328,0.907694,0.8869,1600,0.205,0.2,0.145,0.145
9,-242.0893,0.125,0.3444,1.619,0.819463,0.8521,1800,0.23,0.17,0.105,0.165
10,-263.8439,0.125,0.3868,1.6314,0.763231,0.8187,2000,0.15,0.18,0.075,0.185
11,-277.7793,0.145,0.3692,1.6504,0.720393,0.7866,2200,0.145,0.19,0.145,0.16
12,-247.7072,0.135,0.3693,1.5792,0.687654,0.7558,2400,0.155,0.18,0.17,0.155
13,-222.7686,0.11,0.3851,1.6468,0.660936,0.7261,2600,0.155,0.17,0.165,0.18
14,-204.1934,0.095,0.3938,1.6304,0.636925,0.6977,2800,0.17,0.115,0.215,0.19
15,-176.9175,0.075,0.3839,1.665,0.617245,0.6703,3000,0.15,0.16,0.235,0.16
16,-176.4832,0.075,0.4128,1.6491,0.600639,0.644,3200,0.145,0.16,0.21,0.19
17,-220.6657,0.1,0.3667,1.5667,0.587947,0.6188,3400,0.155,0.215,0.12,0.155
18,-198.1088,0.085,0.3743,1.516,0.575672,0.5945,3600,0.165,0.215,0.16,0.19
19,-145.4613,0.05,0.3411,1.6812,0.565211,0.5712,3800,0.215,0.195,0.15,0.16
20,-189.3863,0.085,0.3315,1.6885,0.553538,0.5488,4000,0.25,0.155,0.15,0.115
21,-239.8296,0.125,0.3424,1.5324,0.542187,0.5273,4200,0.22,0.2,0.14,0.11
22,-236.1688,0.12,0.3232,1.62,0.532513,0.5066,4400,0.255,0.17,0.14,0.145
23,-177.4517,0.075,0.3596,1.7733,0.523123,0.4867,4600,0.17,0.24,0.175,0.16
24,-148.1262,0.055,0.3527,1.7591,0.515649,0.4676,4800,0.19,0.205,0.175,0.135
25,-175.8587,0.07,0.3362,1.759,0.509206,0.4493,5000,0.285,0.135,0.145,0.18
26,-168.6866,0.075,0.3179,1.6597,0.503103,0.4317,5200,0.3,0.18,0.125,0.115
27,-160.7509,0.06,0.3277,1.7613,0.496672,0.4147,5400,0.29,0.195,0.145,0.115
28,-153.3089,0.06,0.3179,1.6627,0.490641,0.3985,5600,0.245,0.245,0.125,0.12
29,-150.814,0.055,0.3124,1.706,0.485901,0.3829,5800,0.22,0.27,0.13,0.115
30,-125.2461,0.04,0.3281,1.7876,0.482289,0.3678,6000,0.275,0.225,0.14,0.13
31,-153.2155,0.055,0.3324,1.6723,0.479851,0.3534,6200,0.16,0.29,0.18,0.105
32,-136.0908,0.04,0.3471,1.7437,0.476045,0.3396,6400,0.32,0.145,0.17,0.21
33,-162.5571,0.065,0.3539,1.6533,0.472604,0.3262,6600,0.14,0.21,0.195,0.21
34,-154.9804,0.06,0.336,1.7678,0.469866,0.3134,6800,0.17,0.26,0.15,0.18
35,-123.8744,0.04,0.3179,1.6811,0.467106,0.3012,7000,0.185,0.315,0.135,0.12
36,-146.0074,0.06,0.302,1.7815,0.463318,0.2893,7200,0.23,0.295,0.115,0.075
37,-173.4891,0.07,0.3094,1.8005,0.459259,0.278,7400,0.22,0.265,0.12,0.15
38,-133.3032,0.045,0.3268,1.7925,0.455696,0.2671,7600,0.18,0.295,0.155,0.165
39,-111.1494,0.03,0.3315,1.6985,0.452314,0.2566,7800,0.305,0.205,0.15,0.105
40,-123.1092,0.035,0.3311,1.6886,0.449026,0.2466,8000,0.285,0.25,0.15,0.09
41,-123.236,0.045,0.3019,1.7821,0.445482,0.2369,8200,0.245,0.27,0.16,0.115
42,-110.6653,0.03,0.3221,1.7494,0.443008,0.2276,8400,0.285,0.23,0.14,0.095
43,-144.4824,0.055,0.3207,1.7237,0.4401,0.2187,8600,0.225,0.235,0.16,0.155
44,-128.1324,0.04,0.3193,1.7382,0.437624,0.2101,8800,0.23,0.25,0.21,0.14
45,-120.8518,0.04,0.3133,1.7754,0.434802,0.2019,9000,0.185,0.32,0.13,0.145
46,-146.6571,0.06,0.2945,1.7077,0.431816,0.1939,9200,0.225,0.32,0.11,0.12
47,-112.2183,0.03,0.3156,1.8053,0.429311,0.1863,9400,0.25,0.255,0.125,0.17
48,-98.3431,0.02,0.3284,1.7895,0.427347,0.179,9600,0.185,0.29,0.135,0.145
49,-98.1113,0.02,0.3127,1.866,0.425611,0.172,9800,0.235,0.28,0.12,0.13
50,-108.4625,0.03,0.3166,1.797,0.424116,0.1653,10000,0.165,0.33,0.155,0.16
51,-84.2687,0.01,0.2974,1.8475,0.423437,0.1588,10200,0.235,0.36,0.14,0.085
52,-128.7863,0.045,0.2927,1.6929,0.422022,0.1526,10400,0.255,0.285,0.145,0.11
53,-83.234,0.015,0.3141,1.8386,0.420279,0.1466,10600,0.2,0.3,0.155,0.135
54,-115.5593,0.035,0.3102,1.7803,0.418679,0.1408,10800,0.23,0.285,0.16,0.145
55,-107.8855,0.03,0.2981,1.7987,0.41691,0.1353,11000,0.28,0.305,0.115,0.115
56,-116.6457,0.035,0.2989,1.7996,0.414682,0.13,11200,0.235,0.305,0.15,0.13
57,-96.7243,0.015,0.3281,1.7716,0.411961,0.1249,11400,0.155,0.31,0.165,0.175
58,-123.0777,0.04,0.3003,1.7622,0.409502,0.12,11600,0.21,0.325,0.135,0.115
59,-96.4803,0.02,0.3327,1.8429,0.407474,0.1153,11800,0.19,0.315,0.145,0.165
60,-110.0855,0.03,0.3123,1.8425,0.405775,0.1108,12000,0.205,0.305,0.16,0.14
61,-111.3421,0.03,0.2926,1.8132,0.4047,0.1064,12200,0.26,0.335,0.145,0.115
62,-77.0427,0.01,0.2776,1.8522,0.403467,0.1023,12400,0.29,0.34,0.135,0.115
63,-80.7404,0.01,0.2924,1.82,0.40216,0.0983,12600,0.29,0.305,0.135,0.1
64,-84.6115,0.015,0.2852,1.7574,0.399957,0.0944,12800,0.285,0.32,0.13,0.13
65,-114.2628,0.035,0.2934,1.8581,0.398049,0.0907,13000,0.275,0.32,0.115,0.14
66,-106.0529,0.02,0.3011,1.7779,0.396521,0.0871,13200,0.425,0.145,0.145,0.11
67,-99.2616,0.02,0.3006,1.8125,0.394876,0.0837,13400,0.245,0.295,0.15,0.145
